Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Starting Salary,Current Salary,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,40956,72368,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
46,No,Travel_Rarely,991,Human Resources,1,2,Life Sciences,1,1314,4,Female,44,3,1,Human Resources,1,Single,13692,91828,6,Y,No,12,3,3,80,0,10,3,4,7,6,5,7
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,286,2,Female,73,3,1,Laboratory Technician,4,Single,8612,30812,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7
39,No,Travel_Rarely,170,Research & Development,3,2,Medical,1,1627,3,Male,76,2,2,Laboratory Technician,3,Divorced,12276,41208,0,Y,No,15,3,4,80,1,11,3,3,10,8,0,7
53,No,Travel_Rarely,1376,Sales,2,2,Medical,1,981,3,Male,45,3,4,Manager,3,Divorced,59408,55752,6,Y,No,13,3,3,80,1,22,3,4,17,13,15,2
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,2,Married,25088,29712,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4
41,No,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,24920,53720,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10
44,No,Travel_Rarely,1315,Research & Development,3,4,Other,1,671,4,Male,35,3,5,Manager,4,Married,78052,37432,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1
49,No,Travel_Rarely,1313,Sales,11,4,Marketing,1,1757,4,Female,80,3,2,Sales Executive,4,Single,18028,32764,3,Y,No,12,3,3,80,0,8,1,4,5,1,0,4
38,No,Travel_Rarely,833,Research & Development,18,3,Medical,1,1766,2,Male,60,1,2,Healthcare Representative,4,Married,23244,98156,3,Y,Yes,16,3,3,80,1,15,2,3,1,0,1,0
60,No,Travel_Rarely,1179,Sales,16,4,Marketing,1,732,1,Male,84,3,2,Sales Executive,1,Single,21620,47696,8,Y,No,14,3,4,80,0,10,1,3,2,2,2,2
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,95,2,2,Manufacturing Director,2,Single,24128,40440,6,Y,Yes,15,3,4,80,0,8,3,3,5,4,1,2
37,No,Travel_Rarely,674,Research & Development,13,3,Medical,1,1543,1,Male,47,3,2,Research Scientist,4,Married,17140,12124,1,Y,No,17,3,1,80,0,10,2,3,10,8,3,7
51,No,Travel_Frequently,968,Research & Development,6,2,Medical,1,1297,2,Female,40,2,1,Laboratory Technician,3,Single,11352,17028,0,Y,No,14,3,2,80,0,8,6,2,7,0,7,7
42,No,Travel_Rarely,603,Research & Development,7,4,Medical,1,1292,2,Female,78,4,2,Research Scientist,2,Married,9488,22512,6,Y,Yes,16,3,4,80,0,18,2,3,1,0,0,0
33,No,Travel_Rarely,586,Sales,1,3,Medical,1,855,1,Male,48,4,2,Sales Executive,1,Divorced,16148,87264,1,Y,No,22,4,1,80,1,9,5,3,9,8,0,8
29,Yes,Travel_Rarely,428,Sales,9,3,Marketing,1,1752,2,Female,52,1,1,Sales Representative,2,Single,11040,58520,1,Y,No,13,3,3,80,0,2,3,3,2,2,2,2
39,Yes,Travel_Rarely,1122,Research & Development,6,3,Medical,1,932,4,Male,70,3,1,Laboratory Technician,1,Married,9616,17212,7,Y,Yes,21,4,4,80,0,8,2,1,2,2,2,2
39,No,Travel_Rarely,492,Research & Development,12,3,Medical,1,1654,4,Male,66,3,2,Manufacturing Director,2,Married,21180,30772,4,Y,No,21,4,3,80,0,7,3,3,5,4,1,0
28,No,Travel_Rarely,1217,Research & Development,1,3,Medical,1,1834,3,Female,67,3,1,Research Scientist,1,Married,14364,50876,1,Y,No,25,4,3,80,1,3,3,3,3,2,1,2
27,No,Travel_Frequently,294,Research & Development,10,2,Life Sciences,1,733,4,Male,32,3,3,Manufacturing Director,1,Divorced,35172,19236,1,Y,No,21,4,3,80,2,9,4,2,9,7,1,7
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,11340,10244,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,271,4,Male,88,3,2,Manufacturing Director,3,Married,26212,29036,9,Y,No,14,3,2,80,0,14,3,3,1,0,0,0
39,No,Travel_Rarely,524,Research & Development,18,2,Life Sciences,1,1322,1,Male,32,3,2,Manufacturing Director,3,Single,18136,53408,0,Y,No,11,3,1,80,0,9,6,3,8,7,1,7
55,Yes,Travel_Rarely,725,Research & Development,2,3,Medical,1,787,4,Male,78,3,5,Manager,1,Married,79436,84796,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4
29,Yes,Travel_Frequently,459,Research & Development,24,2,Life Sciences,1,1868,4,Male,73,2,1,Research Scientist,4,Single,9756,59012,1,Y,Yes,24,4,2,80,0,1,3,2,1,0,1,0
25,No,Travel_Rarely,882,Research & Development,19,1,Medical,1,1358,4,Male,67,3,1,Laboratory Technician,4,Married,14676,36300,3,Y,No,11,3,3,80,3,7,6,2,3,2,1,2
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,Female,97,3,4,Manager,4,Single,66636,93032,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,20840,81232,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,3,Male,96,3,3,Sales Executive,3,Divorced,32756,84784,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
30,Yes,Travel_Rarely,138,Research & Development,22,3,Life Sciences,1,1004,1,Female,48,3,1,Research Scientist,3,Married,8528,46156,4,Y,Yes,11,3,2,80,0,7,2,3,5,2,0,1
46,No,Travel_Rarely,430,Research & Development,1,4,Medical,1,1069,4,Male,40,3,5,Research Director,4,Divorced,78508,85780,9,Y,No,17,3,4,80,2,23,0,3,2,2,2,2
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,36276,44124,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
33,No,Non-Travel,775,Research & Development,4,3,Technical Degree,1,1771,4,Male,90,3,2,Research Scientist,2,Divorced,12220,24776,5,Y,No,15,3,4,80,2,11,2,2,9,8,1,7
53,No,Travel_Rarely,1395,Research & Development,24,4,Medical,1,1689,2,Male,48,4,3,Healthcare Representative,4,Married,28020,13832,3,Y,No,15,3,3,80,0,11,2,3,4,3,1,2
29,No,Travel_Rarely,1396,Sales,10,3,Life Sciences,1,749,3,Male,99,3,1,Sales Representative,3,Single,10568,11020,1,Y,No,11,3,3,80,0,1,6,3,1,0,0,0
44,No,Travel_Rarely,1448,Sales,28,3,Medical,1,1039,4,Female,53,4,4,Sales Executive,4,Married,53280,46948,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11
31,No,Travel_Frequently,853,Research & Development,1,1,Life Sciences,1,1011,3,Female,96,3,2,Manufacturing Director,1,Married,16592,45100,1,Y,No,12,3,3,80,1,4,1,3,4,3,0,3
35,No,Travel_Rarely,1395,Research & Development,9,4,Medical,1,2008,2,Male,48,3,2,Research Scientist,3,Single,20392,74792,1,Y,No,19,3,2,80,0,10,5,3,10,7,0,8
36,No,Travel_Rarely,913,Research & Development,9,2,Medical,1,699,2,Male,48,2,2,Manufacturing Director,2,Divorced,35388,55736,2,Y,Yes,11,3,3,80,1,13,2,3,3,2,0,2
41,No,Non-Travel,509,Research & Development,2,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,27244,8448,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7
34,No,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1,1344,4,Male,86,3,3,Healthcare Representative,4,Divorced,34000,21976,0,Y,No,11,3,4,80,1,10,0,2,9,7,1,6
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,11436,105112,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,46,3,2,Sales Executive,1,Divorced,16932,46048,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2
